ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20230103,54.37,55.13,54.37,54.62,54.36,0.26,0.4783,37706.57,206170.074
000538.SZ,20230104,54.63,54.98,54.42,54.86,54.62,0.24,0.4394,40668.85,222585.748
000538.SZ,20230105,55.03,55.61,54.9,55.28,54.86,0.42,0.7656,61347.64,339148.842
000538.SZ,20230106,55.29,55.47,54.8,55.04,55.28,-0.24,-0.4342,39757.56,218750.85
000538.SZ,20230109,55.06,55.35,54.91,55.14,55.04,0.1,0.1817,31493.71,173448.468
000538.SZ,20230110,55.0,55.55,54.81,55.02,55.14,-0.12,-0.2176,47792.67,263619.987
000538.SZ,20230111,55.06,55.45,54.84,54.86,55.02,-0.16,-0.2908,54948.71,302802.067
000538.SZ,20230112,54.88,55.34,54.66,55.17,54.86,0.31,0.5651,48366.56,265969.865
000538.SZ,20230113,55.07,56.77,54.98,56.76,55.17,1.59,2.882,92074.66,517118.154
000538.SZ,20230116,57.77,57.97,56.8,57.27,56.76,0.51,0.8985,112179.96,645026.405
000538.SZ,20230117,57.48,57.65,56.7,57.06,57.27,-0.21,-0.3667,55062.02,314351.604
000538.SZ,20230118,57.06,57.32,56.62,57.31,57.06,0.25,0.4381,52979.47,302009.392
000538.SZ,20230119,57.2,57.9,56.88,57.88,57.31,0.57,0.9946,53401.91,307361.132
000538.SZ,20230120,57.99,58.4,57.72,58.25,57.88,0.37,0.6393,64316.84,373713.785
000538.SZ,20230130,58.55,58.71,58.0,58.14,58.25,-0.11,-0.1888,84901.67,494821.253
000538.SZ,20230131,58.03,58.1,57.45,57.46,58.14,-0.68,-1.1696,52266.8,301458.446
000538.SZ,20230201,57.46,57.93,56.99,57.6,57.46,0.14,0.2436,64502.36,370258.526
000538.SZ,20230202,57.6,58.06,57.2,57.48,57.6,-0.12,-0.2083,64452.33,371079.659
000538.SZ,20230203,57.37,57.5,56.45,56.7,57.48,-0.78,-1.357,68966.01,391709.514
000538.SZ,20230206,56.69,56.69,55.85,55.91,56.7,-0.79,-1.3933,53800.5,302361.648
000538.SZ,20230207,56.03,56.45,55.89,56.09,55.91,0.18,0.3219,47286.09,265474.728
000538.SZ,20230208,56.12,56.39,55.94,56.04,56.09,-0.05,-0.0891,35693.65,200348.758
000538.SZ,20230209,56.04,56.32,55.8,56.27,56.04,0.23,0.4104,32608.09,183127.794
000538.SZ,20230210,56.38,56.38,55.91,56.08,56.27,-0.19,-0.3377,32665.8,183422.763
000538.SZ,20230213,56.2,56.55,55.88,56.45,56.08,0.37,0.6598,64153.42,361078.286
000538.SZ,20230214,56.6,56.68,56.17,56.48,56.45,0.03,0.0531,54968.69,309802.235
000538.SZ,20230215,56.4,56.79,56.15,56.55,56.48,0.07,0.1239,53299.99,301150.482
000538.SZ,20230216,56.66,57.66,56.2,56.63,56.55,0.08,0.1415,101360.87,577989.512
000538.SZ,20230217,56.62,57.48,56.39,56.8,56.63,0.17,0.3002,83731.24,477972.818
000538.SZ,20230220,57.02,57.52,55.89,57.5,56.8,0.7,1.2324,93756.37,533802.101
000538.SZ,20230221,57.43,57.9,57.33,57.8,57.5,0.3,0.5217,67205.89,387185.265
000538.SZ,20230222,57.51,58.09,57.46,57.78,57.8,-0.02,-0.0346,60849.15,351920.614
000538.SZ,20230223,57.59,58.14,57.24,57.42,57.78,-0.36,-0.6231,73752.61,424210.507
000538.SZ,20230224,57.4,57.46,56.71,57.05,57.42,-0.37,-0.6444,55778.5,318306.412
000538.SZ,20230227,57.01,57.44,56.38,56.5,57.05,-0.55,-0.9641,47084.44,267295.556
000538.SZ,20230228,56.5,57.09,56.46,56.9,56.5,0.4,0.708,66990.62,380569.922
000538.SZ,20230301,57.69,57.75,56.9,57.48,56.9,0.58,1.0193,62151.68,356078.91
000538.SZ,20230302,57.47,57.48,57.03,57.17,57.48,-0.31,-0.5393,39664.37,227037.979
000538.SZ,20230303,57.2,57.69,57.11,57.32,57.17,0.15,0.2624,40249.88,230822.481
000538.SZ,20230306,57.33,58.15,57.09,57.77,57.32,0.45,0.7851,83029.15,479395.74
000538.SZ,20230307,56.9,56.92,54.55,54.72,57.77,-3.05,-5.2796,231180.58,1286960.993
000538.SZ,20230308,54.61,54.98,53.8,54.42,54.72,-0.3,-0.5482,74878.86,407609.49
000538.SZ,20230309,54.47,54.8,54.38,54.54,54.42,0.12,0.2205,42981.78,234574.578
000538.SZ,20230310,54.48,54.48,53.88,53.95,54.54,-0.59,-1.0818,51149.94,276840.586
000538.SZ,20230313,53.81,54.34,53.72,54.3,53.95,0.35,0.6487,40616.72,219975.76
000538.SZ,20230314,54.31,54.57,53.53,53.62,54.3,-0.68,-1.2523,57698.95,310878.853
000538.SZ,20230315,53.85,54.47,53.79,54.02,53.62,0.4,0.746,57230.35,309465.734
000538.SZ,20230316,53.9,54.79,53.6,54.22,54.02,0.2,0.3702,61188.11,332328.827
000538.SZ,20230317,54.4,54.66,53.82,54.06,54.22,-0.16,-0.2951,51375.26,278537.448
000538.SZ,20230320,54.05,54.05,52.5,52.54,54.06,-1.52,-2.8117,97100.17,512876.532
000538.SZ,20230321,52.55,53.28,52.55,53.12,52.54,0.58,1.1039,41665.77,220823.959
000538.SZ,20230322,53.2,53.61,53.14,53.5,53.12,0.38,0.7154,32080.14,171296.577
000538.SZ,20230323,53.48,53.79,53.09,53.76,53.5,0.26,0.486,33230.21,177972.386
000538.SZ,20230324,53.75,53.96,53.16,53.24,53.76,-0.52,-0.9673,39808.69,212557.492
000538.SZ,20230327,53.35,53.99,53.0,53.57,53.24,0.33,0.6198,49766.84,266495.023
