ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600104.SH,20230103,14.32,14.45,14.19,14.41,14.41,0.0,0.0,172673.85,247694.052
600104.SH,20230104,14.39,14.44,14.34,14.41,14.41,0.0,0.0,125756.31,181073.408
600104.SH,20230105,14.5,14.54,14.43,14.47,14.41,0.06,0.4164,194552.98,281745.474
600104.SH,20230106,14.45,14.56,14.41,14.47,14.47,0.0,0.0,169464.44,245603.86
600104.SH,20230109,14.51,14.59,14.47,14.48,14.47,0.01,0.0691,158127.15,229558.672
600104.SH,20230110,14.48,14.58,14.31,14.49,14.48,0.01,0.0691,253108.57,365580.688
600104.SH,20230111,14.48,14.52,14.41,14.43,14.49,-0.06,-0.4141,151957.89,219844.93
600104.SH,20230112,14.49,14.52,14.34,14.38,14.43,-0.05,-0.3465,160925.72,232154.715
600104.SH,20230113,14.4,14.52,14.38,14.52,14.38,0.14,0.9736,161460.83,233287.631
600104.SH,20230116,14.5,14.79,14.46,14.7,14.52,0.18,1.2397,251789.33,368527.018
600104.SH,20230117,14.69,14.74,14.62,14.73,14.7,0.03,0.2041,135144.7,198431.74
600104.SH,20230118,14.75,14.84,14.69,14.72,14.73,-0.01,-0.0679,122659.79,180942.033
600104.SH,20230119,14.72,14.76,14.61,14.75,14.72,0.03,0.2038,136514.02,200510.888
600104.SH,20230120,14.77,14.85,14.75,14.84,14.75,0.09,0.6102,148460.37,219782.441
600104.SH,20230130,15.12,15.2,14.96,15.02,14.84,0.18,1.2129,313350.18,472665.795
600104.SH,20230131,14.99,15.18,14.98,15.02,15.02,0.0,0.0,189612.31,286175.906
600104.SH,20230201,15.06,15.2,15.05,15.19,15.02,0.17,1.1318,211036.96,319491.663
600104.SH,20230202,15.21,15.23,14.89,14.96,15.19,-0.23,-1.5142,405414.17,609198.614
600104.SH,20230203,14.92,14.92,14.76,14.84,14.96,-0.12,-0.8021,197332.18,292681.494
600104.SH,20230206,14.8,14.88,14.74,14.85,14.84,0.01,0.0674,157672.43,233238.055
600104.SH,20230207,14.9,14.93,14.82,14.9,14.85,0.05,0.3367,132109.49,196430.109
600104.SH,20230208,14.9,14.92,14.82,14.85,14.9,-0.05,-0.3356,104795.54,155656.547
600104.SH,20230209,14.8,14.92,14.79,14.9,14.85,0.05,0.3367,121856.44,181435.437
600104.SH,20230210,14.86,14.9,14.78,14.83,14.9,-0.07,-0.4698,116597.64,173005.893
600104.SH,20230213,14.82,14.92,14.74,14.88,14.83,0.05,0.3372,173194.66,257289.704
600104.SH,20230214,14.89,14.92,14.85,14.92,14.88,0.04,0.2688,106283.4,158203.28
600104.SH,20230215,14.93,15.02,14.9,14.95,14.92,0.03,0.2011,155444.67,232339.866
600104.SH,20230216,14.96,15.15,14.72,14.81,14.95,-0.14,-0.9365,289457.15,434081.478
600104.SH,20230217,14.81,14.92,14.7,14.7,14.81,-0.11,-0.7427,163334.08,241960.603
600104.SH,20230220,14.71,15.0,14.69,15.0,14.7,0.3,2.0408,232226.38,344693.718
600104.SH,20230221,14.99,15.22,14.94,15.21,15.0,0.21,1.4,298340.05,451246.1
600104.SH,20230222,15.1,15.21,15.05,15.13,15.21,-0.08,-0.526,158187.99,239192.608
600104.SH,20230223,15.13,15.18,15.06,15.14,15.13,0.01,0.0661,138594.83,209500.408
600104.SH,20230224,15.13,15.13,14.93,14.96,15.14,-0.18,-1.1889,131539.61,197357.452
600104.SH,20230227,14.91,15.01,14.87,14.89,14.96,-0.07,-0.4679,113888.1,170095.282
600104.SH,20230228,14.94,15.03,14.87,15.03,14.89,0.14,0.9402,170164.44,254452.151
600104.SH,20230301,15.01,15.2,14.99,15.19,15.03,0.16,1.0645,238134.19,360801.155
600104.SH,20230302,15.19,15.28,15.16,15.21,15.19,0.02,0.1317,158382.51,241017.401
600104.SH,20230303,15.23,15.29,15.18,15.28,15.21,0.07,0.4602,147934.43,225519.234
600104.SH,20230306,15.3,15.31,15.13,15.2,15.28,-0.08,-0.5236,166176.87,252927.905
600104.SH,20230307,15.2,15.42,15.08,15.14,15.2,-0.06,-0.3947,321146.94,491232.337
600104.SH,20230308,15.05,15.12,15.01,15.09,15.14,-0.05,-0.3303,129127.41,194526.721
600104.SH,20230309,15.09,15.09,14.87,14.93,15.09,-0.16,-1.0603,190147.05,284938.015
600104.SH,20230310,14.76,14.79,14.25,14.26,14.93,-0.67,-4.4876,582866.21,840419.759
600104.SH,20230313,14.16,14.26,13.96,14.11,14.26,-0.15,-1.0519,313491.97,441731.308
600104.SH,20230314,14.08,14.14,13.85,14.05,14.11,-0.06,-0.4252,258403.14,361695.747
600104.SH,20230315,14.1,14.18,14.05,14.11,14.05,0.06,0.427,153412.82,216740.396
600104.SH,20230316,14.06,14.21,14.01,14.17,14.11,0.06,0.4252,192095.63,271714.765
600104.SH,20230317,14.22,14.4,14.17,14.21,14.17,0.04,0.2823,213730.46,305255.782
